cluster,field,academic_rank
4.0,วัสดุศาสตร์,18
4.0,วาริชศาสตร์,5
4.0,วิทยาการระบาด,5
4.0,วิสวกรรมไฟฟ้า,1
4.0,ศัยลศาสตร์,1
4.0,ศาสนา,1
4.0,สถิติ,35
4.0,สถิติศาสตร์,2
4.0,สถิิติ,1
4.0,สาขาวิชานิติศาสตร์,1
4.0,สาขาวิชานิเทศศาสตร์,1
4.0,ออร์โทปิดิกส์,5
4.0,ออร์โธปิดิกส์,24
4.0,ออร์โธปิดิคส์,1
4.0,อายรุศาสตร์,3
4.0,อายุรศาส,1
4.0,อิเล็กทรอนิกส์,7
4.0,เศรษฐศาตร์,3
5.0,กลศาสตร์ของไหล,1
5.0,กลศาสตร์หิน การวิเคราะห์ด้วยแบบจำลองทางคอมพิวเตอร์ และการสำรวจภาคสนาม,1
5.0,ครุศาสตร์เครื่องกล,9
5.0,วิทยาการหุ่นยนต์และระบบอัตโนมัติ,1
5.0,วิศวกรรมการบินและอวกาศ,1
5.0,วิศวกรรมการบินและอวกาศยาน,1
5.0,วิศวกรรมชลประทาน,4
5.0,วิศวกรรมทรัพยากรน้ำ,4
5.0,วิศวกรรมน้ำและการชลประทาน,1
5.0,วิศวกรรมพอลิเมอร์,4
5.0,วิศวกรรมอากาศยาน,1
5.0,วิศวกรรมเครื่องมือและวัสดุ,1
5.0,วิศวกรรมและเทคโนโลยีพอลิเมอร์,1
5.0,วิศวกรรมแหล่งน้ำ,8
5.0,"วิศวกรรมแหล่งน้ำ, ภาพถ่ายดาวเทียม, ระบบสารสนเทศภูมิศาสตร์",1
5.0,เครื่องกล,2
6.0,ความหลากหลายทางชีวภาพและนิเวศวิทยาจุลินทรีย์การเกษตร,1
6.0,ชีววิทยา,83
6.0,ชีววิทยา (พันธุศาสตร์),1
6.0,ชีววิทยาช่องปาก,12
6.0,ชีววิทยาทางทะเล,1
6.0,ชีววิทยาทางทะเล (แพลงก์ตอน),1
6.0,ชีววิทยาประมง,6
6.0,ชีววิทยาประยุกต์,1
6.0,ชีววิทยาป่าไม้,4
6.0,ชีววิทยาระดับโมเลกุล,1
6.0,ชีววิทยาสภาวะแวดล้อม,1
6.0,ชีววิทยาสิ่งแวดล้อม,1
6.0,ชีวเคมีทางการแพทย์และอณูชีววิทยาของโรคติดเชื้อ,1
6.0,ชีวเคมีและชีววิทยาโมเลกุล,1
6.0,นิเวศวิทยาของแมลง,1
6.0,ประสาทชีวเคมีและประสาทวิทยาศาสตร์,1
6.0,พยาธิชีววิทยา,3
6.0,พันธุศาสตร์ระดับโมกุลและพันธุวิศวกรรมศาสตร์,3
6.0,พันธุศาสตร์ระดับโมเลกุล,1
6.0,สัตววิทยาและนิเวศวิทยา,1
6.0,สัตววิทยาและนิเวศวิทยาของแมลง,1
6.0,สัตววิทยาและเนื้อเยื่อวิทยาของแมลง,1
6.0,อณูชีววิทยา,1
6.0,อณูพันธุศาสตร์และพันธุวิศวกรรมศาสตร์,4
6.0,อณูพันธุศาสตร์และอณูชีววิทยาการแพทย์,1
6.0,เทคโนโลยีชีวภาพ ระบบสืบพันธุ์สัตว์,1
6.0,เภสัชจุลชีววิทยา,1
6.0,โภชนศาสตร์ชีวเคมี,1
7.0,การจัดการดินและน้ำ,1
7.0,การจัดการทรัพยากรชีวภาพ,1
7.0,การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,1
7.0,การจัดการมนุษย์กับสิ่งแวดล้อม,1
7.0,การจัดการสารสนเทศสิ่งแวดล้อมและทรัพยากร,1
7.0,การจัดการสิ่งแวดล้อม,6
7.0,การจัดการสิ่งแวดล้อมการผลิตพืช,1
7.0,ทรัพยากรที่ดินและสิ่งแวดล้อม,1
8.0,"Utilization / Treatment of Agro - Industrial Wastes , Enzyme Technology Fermentation Technology, Agro - Industry Plant Management",1
8.0,การบริหารธุรกิจเกษตร,2
8.0,การผลิตและการปรับปรุงพันธุ์,1
8.0,การพัฒนาชนบทด้านพัฒนากลุ่มเกษตรกรหรือสหกรณ์,1
8.0,ครุศาสตร์เกษตร,1
8.0,บริหารธุรกิจเกษตร,1
8.0,พัฒนาการเกษตร,4
8.0,พัฒนาผลิตภัณฑ์อุตสาหกรรมเกษตร,3
8.0,วิทยาศาสตร์การเกษตร,2
8.0,วิศวกรรมเกษตร,8
8.0,วิศวกรรมเกษตร (การออกแบบและการวางแผนการใช้เครื่องจักรกลเกษตรขนาดเล็กสำหรับการทำนา),1
8.0,ศึกษาศาสตร์เกษตร,4
8.0,ส่งเสริมการเกษตร,10
8.0,"ส่งเสริมการเกษตร,การพัฒนาชุมชน",1
8.0,ส่งเสริมการเกษตรและสหกรณ์,8
8.0,ส่งเสริมและนิเทศศาสตร์เกษตร,8
8.0,ส่งเสริมและเผยแพร่การเกษตร,5
8.0,อุตสาหกรรมเกษตร,7
8.0,เกษตรกลวิธาน,4
8.0,เกษตรศาสตร์,12
8.0,เกษตรศึกษา,1
8.0,เทคโนโลยีการเกษตร,26
8.0,เทคโนโลยีอุตสาหกรรมเกษตร,4
9.0,"การบริหารการศึกษา, หลักสูตรและการสอน",1
9.0,การสอนภาษาต่างประเทศ,1
9.0,การสอนภาษาอังกฤษ,17
9.0,การสอนภาษาไทย,1
9.0,การเรียนการสอนภาษาอังกฤษ,1
9.0,ภาษาอังกฤษและการสอนภาษาอังกฤษ,1
9.0,ภาษาเยอรมัน (การสอนภาษาเยอรมัน),1
9.0,วิชาชีพครู,1
9.0,หลักสุตรและการสอน,1
9.0,หลักสูตรการสอน,3
9.0,หลักสูตรและการนิเทศ,1
9.0,หลักสูตรและการสอน,25
9.0,หลักสูตรและการสอน (มัธยมศึกษา),1
10.0,การแนะแนวและจิตวิทยา,1
