Column1,academic_rank,thai_db_name,scopus_name,thai_affiliation,eng_affiliation,field,citation_count,doc_count,cited_by_count,h_index,co_author_count,highest_edu,employment_type
2838,รองศาสตราจารย์,ดร. วิศิษฎ์ ฉวีพจน์กำจร,Wisit Chaveepojnkamjorn,มหาวิทยาลัยมหิดล,Mahidol University,ระบาดวิทยา,234,21,200,8,26,ปริญญาเอก,ข้าราชการ
2839,รองศาสตราจารย์,ดร. วิศิษฐิพร สุขสมบัติ,Wisitiporn Suksombat,มหาวิทยาลัยเทคโนโลยีสุรนารี,Suranaree University of Technology,เทคโนโลยีการผลิตสัตว์,222,41,210,9,31,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2840,รองศาสตราจารย์,ดร. วิษณุ ภูมิพานิช,,มหาวิทยาลัยอัสสัมชัญ,Assumption University,การบัญชี,,,,,,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
2841,รองศาสตราจารย์,ดร. วิษณุ มีอยู่,Vissanu Meeyoo,มหาวิทยาลัยเทคโนโลยีมหานคร,Mahanakorn University of Technology,วิศวกรรมเคมี,2277,65,2115,22,72,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
2842,รองศาสตราจารย์,ดร. วิษณุ สุวรรณเพิ่ม,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,สื่อมวลชน,,,,,,ปริญญาเอก,ต่ออายุราชการ
2843,ศาสตราจารย์พิเศษ,ดร. วิสาขะ ลิ่มวงศ์,Visaka Limwongse,มหาวิทยาลัยนเรศวร,Naresuan University,-,201,9,186,6,21,ปริญญาเอก,ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)
2844,ศาสตราจารย์,ดร. วิสาขา ภู่จินดา,Wisakha Phoochinda,สถาบันบัณฑิตพัฒนบริหารศาสตร์,National Institute of Development Administration,การจัดการสิ่งแวดล้อม,140,17,113,7,19,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2845,รองศาสตราจารย์,ดร. วิสาข์ จัติวัตร์,,มหาวิทยาลัยศิลปากร,Silapakorn University,การสอนภาษาอังกฤษ,,,,1,,ปริญญาเอก,ข้าราชการ
2846,รองศาสตราจารย์,ดร. วิสิฐ จะวะสิต,V. Chavasit,มหาวิทยาลัยมหิดล,Mahidol University,วิทยาศาสตร์และเทคโนโลยีทางอาหาร,643,46,574,15,159,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2847,รองศาสตราจารย์,ดร. วิสิษฐ์ แววสูงเนิน,Visit Vao-Soongnern,มหาวิทยาลัยเทคโนโลยีสุรนารี,Suranaree University of Technology,เคมี,213,32,176,8,31,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2848,รองศาสตราจารย์,ดร. วิสุดา สุวิทยาวัฒน์,Wisuda Suvitayavat,มหาวิทยาลัยมหิดล,Mahidol University,สรีรวิทยา,175,17,164,7,56,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2849,รองศาสตราจารย์,ดร. วิสุทธิ์ ช่อวิเชียร,Visuth Chovichien,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,วิศวกรรมโยธา,10,3,10,2,5,ปริญญาเอก,ข้าราชการ
2850,รองศาสตราจารย์,ดร. วิสุทธิ์ ฐิติรุ่งเรือง,Wisut Titiroongruang,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,วิศวกรรมอิเล็กทรอนิกส์,55,61,49,4,96,ปริญญาเอก,ข้าราชการ
2851,รองศาสตราจารย์,ดร. วิสุทธิ์ ประดิษฐ์อาชีพ,Wisuit Pradidarcheep,มหาวิทยาลัยศรีนครินทรวิโรฒ,Srinakharinwirot University,กายวิภาคศาสตร์,316,30,291,7,53,ปริญญาเอก,ข้าราชการ
2852,รองศาสตราจารย์,ดร. วิสุทธิ์ พิสุทธอานนท์,Visut Pisutha-Arnond,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,ธรณีวิทยา,171,8,171,5,29,ปริญญาเอก,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2853,รองศาสตราจารย์,ดร. วิเชียร กิจปรีชาวนิช,Vichien Kitpreechavanich,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,จุลชีววิทยา,655,60,540,15,102,ปริญญาเอก,ข้าราชการ
2854,รองศาสตราจารย์,ดร. วิเชียร จาฎุพจน์,Wichien Chatupote,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,ปฐพีศาสตร์,20,5,20,2,9,ปริญญาเอก,ข้าราชการ
2855,รองศาสตราจารย์,ดร. วิเชียร ชิวพิมาย,,มหาวิทยาลัยวงษ์ชวลิตกุล,Vongchavalitkul University,บริหารการศึกษา,,,,,,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
