Column1,academic_rank,thai_db_name,scopus_name,thai_affiliation,eng_affiliation,field,citation_count,doc_count,cited_by_count,h_index,co_author_count,highest_edu,employment_type
0,ศาสตราจารย์,Andrew Miles Kirk,,มหาวิทยาลัยกรุงเทพ,Bangkok University,-,,,,,,ปริญญาเอก,อาจารย์มหาวิทยาลัยเอกชน
1,รองศาสตราจารย์,David James Harding,David J. Harding,มหาวิทยาลัยวลัยลักษณ์,Walailak University,เคมีอนินทรีย์,844,75,587,15,123,-,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
2,ศาสตราจารย์,Kimmo J. Kosonen,Kimmo Kosonen,มหาวิทยาลัยพายัพ,Payap University,-,81,6,75,4,1,-,อาจารย์วิทยาลัยเอกชน
3,ศาสตราจารย์,Larin K. Adams,Larin Adams,มหาวิทยาลัยพายัพ,Payap University,-,,,,1,,-,อาจารย์วิทยาลัยเอกชน
4,รองศาสตราจารย์,RAYMOND JAMES RITCHIE,Raymond James Ritchie,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,-,2234,91,1783,22,78,-,ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)
5,ศาสตราจารย์,Ramzi W. Nahhas,,มหาวิทยาลัยพายัพ,Payap University,-,,,,,,-,อาจารย์วิทยาลัยเอกชน
6,ศาสตราจารย์,TILAK KARIYAWASAM,,วิทยาลัยพุทธศาสนานานาชาติ,International Buddhist College,-,,,,,,-,อาจารย์วิทยาลัยเอกชน
7,ศาสตราจารย์,William Emitt Halal,William E. Halal,มหาวิทยาลัยกรุงเทพ,Bangkok University,-,209,57,202,7,13,ปริญญาตรี,อาจารย์มหาวิทยาลัยเอกชน
8,รองศาสตราจารย์,กชกร เฉลิมกาญจนา,,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,การบัญชี,,,,,,ปริญญาโท,ข้าราชการ
9,รองศาสตราจารย์,กตัญญู หิรัญญสมบูรณ์,,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,การบริหารธุรกิจ,,,,,,ปริญญาโท,ข้าราชการ
10,รองศาสตราจารย์,กนก สีจร,Kanok Seejorn,มหาวิทยาลัยขอนแก่น,Khon Kaen University,สูติศาสตร์-นรีเวชวิทยา,90,17,89,6,44,ปริญญาตรี,ข้าราชการ
11,รองศาสตราจารย์,กนกพร หมู่พยัคฆ์,,มหาวิทยาลัยมหิดล,Mahidol University,พยาบาลศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
12,รองศาสตราจารย์,กนกรัตน์ ศิริพานิชกร,Kanokrat Siripanichakorn,มหาวิทยาลัยมหิดล,Mahidol University,จุลชีววิทยา,,,,1,,ปริญญาโท,ข้าราชการ
13,รองศาสตราจารย์พิเศษ,กนกวรรณ บุญญพิสิฎฐ์,Kanokwan Boonyapisit,มหาวิทยาลัยมหิดล,Mahidol University,อายุรศาสตร์,472,23,469,10,139,-,ข้าราชการ
14,รองศาสตราจารย์,กนกวรรณ วุฒิกนกกาญจน์,,มหาวิทยาลัยราชภัฏนครราชสีมา,Nakhon Ratchasima Rajabhat University,การบัญชี,,,,,,ปริญญาโท,ข้าราชการ
15,ศาสตราจารย์,กนกวลัย กุลทนันทน์,Kanokvalai Kulthanan,มหาวิทยาลัยมหิดล,Mahidol University,ตจวิทยา,1520,105,1334,19,390,ปริญญาตรี,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
16,รองศาสตราจารย์,กมล ฉายาวัฒนะ,,มหาวิทยาลัยวงษ์ชวลิตกุล,Vongchavalitkul University,-,,,,,,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
17,รองศาสตราจารย์,กมล เผ่าสวัสดิ์,Sukhit Phaosavasdi,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,ทัศนศิลป์,155,91,126,7,78,ปริญญาโท,ข้าราชการ
18,รองศาสตราจารย์,กมลทิพย์ กสิภาร์,,มหาวิทยาลัยราชภัฏนครราชสีมา,Nakhon Ratchasima Rajabhat University,ชีววิทยา,,,,,,ปริญญาโท,ข้าราชการ
19,รองศาสตราจารย์,กมลทิพย์ หาญผดุงกิจ,Kamolthip Harnphadungkit,มหาวิทยาลัยมหิดล,Mahidol University,เวชศาสตร์ฟื้นฟู,39,7,37,4,23,ปริญญาตรี,ข้าราชการ
20,ศาสตราจารย์,กมลพร แก้วพรสวรรค์,Kamolporn Kaewpornsawan,มหาวิทยาลัยมหิดล,Mahidol University,ศัลยศาสตร์ออร์โธปิดิกส์,190,40,177,6,49,ปริญญาตรี,ข้าราชการ
21,รองศาสตราจารย์,กมลพรรณ นามวงศ์พรหม,Kamolpun Namwongprom,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,พฤกษศาสตร์,,,,0,,ปริญญาโท,ข้าราชการ
22,รองศาสตราจารย์,กรกฏ เห็นแสงวิไล,,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,กายภาพบำบัด,,,,,,ปริญญาตรี,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
23,รองศาสตราจารย์,กรรณิกา คงสาคร,Kannika Kongsakorn,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,คณิตศาสตร์,,,,0,,ปริญญาโท,ข้าราชการ
24,รองศาสตราจารย์,กรรณิกา ชัชวาลวานิช,Kannika Chatchavalvanich,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,สัตววิทยา,120,16,107,8,27,ปริญญาโท,ข้าราชการ
25,รองศาสตราจารย์,กรรณิกา บัณสิทธิ์,,มหาวิทยาลัยอีสเทิร์นเอเชีย,University of Eastern Asia,-,,,,,,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
26,รองศาสตราจารย์,กรรณิกา วิทย์สุภากร,Kannika Vitsupakorn,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,เวชศาสตร์ชุมชน,38,6,36,4,13,ปริญญาโท,ข้าราชการ
27,รองศาสตราจารย์,กรรณิการ์ ดิษยวงศ์,,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,King Mongkut's University of Technology North Bangkok,สิ่งแวดล้อมทางเคมี,,,,,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
28,ศาสตราจารย์,กรรณิการ์ พรพัฒน์กุล,Kannika Phornphutkul,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,อายุรศาสตร์,238,16,235,8,96,ปริญญาตรี,ข้าราชการ
29,รองศาสตราจารย์,กรรณิการ์ เฉกแสงรัตน์,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,ไทย,,,,,,ปริญญาโท,ข้าราชการ
30,รองศาสตราจารย์,กรวลัย พันธุ์แพ,Kornvalai Panpae,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut’s University of Technology Thonburi,เคมีอนินทรีย์,,,,0,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
31,รองศาสตราจารย์,กรองทอง รัตนวงศ์สวัสดิ์,,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,คณิตศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
32,รองศาสตราจารย์,กรองทิพย์ ชัยชาญ,,มหาวิทยาลัยราชภัฏนครราชสีมา,Nakhon Ratchasima Rajabhat University,เศรษฐศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
33,รองศาสตราจารย์,กฤช ภูริสินสิทธิ์,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,เศรษฐศาสตร์,,,,,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
34,รองศาสตราจารย์,กฤตยา อาชวนิจกุล,Kritaya Archavanitkul,มหาวิทยาลัยมหิดล,Mahidol University,วิจัยประชากรและสังคม,44,5,42,4,11,ปริญญาโท,ต่ออายุราชการ
35,ศาสตราจารย์,กฤตย์วิกรม ดุรงค์พิศิษฎ์กุล,Kritvikrom Durongpisitkul,มหาวิทยาลัยมหิดล,Mahidol University,กุมารเวชศาสตร์,1326,53,1236,14,135,ปริญญาตรี,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
36,รองศาสตราจารย์,กฤตวัน ศิริบูรณ์,Kritawan Siriboon,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,วิศวกรรมคอมพิวเตอร์,35,15,27,4,14,ปริญญาโท,ข้าราชการ
37,ศาสตราจารย์,กฤษฎา รัตนโอฬาร,Krisada Ratana-Olarn,มหาวิทยาลัยมหิดล,Mahidol University,ศัลยศาสตร์ระบบปัสสาวะ,287,33,277,9,60,ปริญญาตรี,ต่ออายุราชการ
38,รองศาสตราจารย์,กฤษฎา ศรีธรรมา,,มหาวิทยาลัยราชภัฏมหาสารคาม,Rajabhat Maha Sarakham University,ภาษาไทย,,,,,,ปริญญาโท,ข้าราชการ
39,รองศาสตราจารย์,กฤษฎา อินทรสถิตย์,,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,สถาปัตยกรรมภายใน,,,,,,ปริญญาตรี,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
40,รองศาสตราจารย์,กฤษฎา ไตรสุรัตน์,,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,คณิตศาสตร์,,,,,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
41,รองศาสตราจารย์,กฤษฎี ประภาสะวัต,,มหาวิทยาลัยมหิดล,Mahidol University,รังสีวิทยาทั่วไป,,,,,,ปริญญาตรี,ข้าราชการ
42,รองศาสตราจารย์,กฤษณา ชินสิญจน์,,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,การศึกษา,,,,,,ปริญญาโท,ข้าราชการ
43,รองศาสตราจารย์,กฤษณา ปทีปโชติวงศ์,Kritsana Pathepchotiwong,มหาวิทยาลัยมหิดล,Mahidol University,จุลทรรศน์ศาสตร์คลินิก,66,5,66,2,14,ปริญญาโท,ข้าราชการ
44,ศาสตราจารย์,กฤษณา เพ็งสา,Krisana Pengsaa,มหาวิทยาลัยมหิดล,Mahidol University,กุมารเวชศาสตร์,1434,46,1216,15,128,ปริญญาตรี,ต่ออายุราชการ
45,รองศาสตราจารย์,กฤษณา เลิศสุขประเสริฐ,Krisna Lertsukprasert,มหาวิทยาลัยมหิดล,Mahidol University,โสต ศอ นาสิก ลาริงซ์วิทยา,76,10,75,4,53,ปริญญาโท,ข้าราชการ
46,รองศาสตราจารย์,กฤษณ์ ปิ่นทอง,Krit Pinthong,มหาวิทยาลัยราชภัฏสุรินทร์,Surindra Rajabhat University,ชีววิทยา,179,56,117,7,95,ปริญญาโท,ข้าราชการ
47,รองศาสตราจารย์,กวี ครองแก้ว,,มหาวิทยาลัยราชภัฏกำแพงเพชร,Kamphaeng Phet Rajabhat University,ดุริยางคศิลป์,,,,,,ปริญญาโท,ข้าราชการ
48,รองศาสตราจารย์,กวี รักษ์ชน,,มหาวิทยาลัยราชภัฏเทพสตรี,Thepsatri Rajabhat University,-,,,,,,ปริญญาโท,ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)
49,รองศาสตราจารย์,กวี ศิริโภคาภิรมย์,,มหาวิทยาลัยราชภัฏเทพสตรี,Thepsatri Rajabhat University,คณิตศาสตร์,,,,,,-,อื่นๆ
50,รองศาสตราจารย์,กวี หวังนิเวศน์กุล,,มหาวิทยาลัยเอเชียอาคเนย์,Southeast Asia University,วิศวกรรมโยธา,,,,,,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
51,รองศาสตราจารย์,กษิดิศ อื้อเชี่ยวชาญกิจ,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,,,,,,ปริญญาโท,ข้าราชการ
52,ศาสตราจารย์,กอบกาญจน์ ทองประสม,Kobkan Thongprasom,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,-,1942,51,1232,19,148,-,ข้าราชการ
53,รองศาสตราจารย์,กอบกุล ปราบประชา,,มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,Rajamangala University of Technology Thanyaburi,เทคโนโลยีทางการศึกษา,,,,,,ปริญญาโท,ข้าราชการ
54,รองศาสตราจารย์,กอบกุล สังขะมัลลิก,,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์,Valaya Alongkorn Rajabhat University,การศึกษา,,,,,,ปริญญาโท,ข้าราชการ
55,ศาสตราจารย์,กอบชัย พัววิไล,Gobchai Puavilai,มหาวิทยาลัยมหิดล,Mahidol University,อายุรศาสตร์,763,46,738,14,105,ปริญญาตรี,ข้าราชการ
56,รองศาสตราจารย์,กอบศิริ วรศรี,,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,ฟิสิกส์,,,,,,ปริญญาโท,ข้าราชการ
57,รองศาสตราจารย์,กอบแก้ว รัตนอุบล,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,,,,,,ปริญญาโท,ข้าราชการ
58,รองศาสตราจารย์,กัญญนันทน์ กฤษศิริวุฒินันท์,Kanyanan Kritsiriwuthinan,มหาวิทยาลัยรังสิต,Rangsit University,จุลชีววิทยา,53,10,51,5,21,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
59,รองศาสตราจารย์,กัญญรัตน์ เวชชศาสตร์,,มหาวิทยาลัยศิลปากร,Silapakorn University,ภาษาไทย,,,,,,ปริญญาโท,ข้าราชการ
60,รองศาสตราจารย์,กัญญา ธัญมันตา,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,ศึกษาศาสตร์,,,,,,ปริญญาโท,ต่ออายุราชการ
61,รองศาสตราจารย์,กัญญา เจริญศุภกุล,,มหาวิทยาลัยศิลปากร,Silapakorn University,ภาพพิมพ์,,,,,,-,ข้าราชการ
62,รองศาสตราจารย์,กันจณา ดำโสภี,,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,ภาพพิมพ์,,,,,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
63,รองศาสตราจารย์,กันยา ออประเสริฐ,,มหาวิทยาลัยมหิดล,Mahidol University,พยาบาลศาสตร์,,,,,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
64,รองศาสตราจารย์,กันยารัตน์ โตธนะรุ่งโรจน์,Kanyarat Totanarungroj,มหาวิทยาลัยมหิดล,Mahidol University,สูติ-นรีเวชวิทยา,25,8,25,3,12,ปริญญาตรี,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
65,รองศาสตราจารย์,กัมพล แก้วเกษ,Kampon Kaeoket,มหาวิทยาลัยมหิดล,Mahidol University,สูติศาสตร์ เธนุเวชวิทยา และวิทยาการสืบพันธุ์,612,47,413,15,69,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
66,รองศาสตราจารย์,กัลณกา สาธิตธาดา,Gannaga Satittada,มหาวิทยาลัยแม่ฟ้าหลวง,Mae Fah Luang University,ฟิสิกส์,5,6,5,1,9,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
67,รองศาสตราจารย์,กัลยกร วรกุลลัฎฐานีย์,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,การโฆษณา,,,,,,ปริญญาโท,ข้าราชการ
68,รองศาสตราจารย์,กัลยา พัฒนะศรี,,มหาวิทยาลัยวงษ์ชวลิตกุล,Vongchavalitkul University,-,,,,,,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
69,รองศาสตราจารย์,กัลยา ภราไดย,Kalaya Pharadai,มหาวิทยาลัยอีสเทิร์นเอเชีย,University of Eastern Asia,-,207,8,154,8,15,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
70,รองศาสตราจารย์,กัลยา ศรีสุวรรณ,Galaya Srisuwan,มหาวิทยาลัยวลัยลักษณ์,Walailak University,วิศวกรรมสิ่งแวดล้อม,33,3,32,3,6,-,ข้าราชการ
71,รองศาสตราจารย์,กัลยา เจือจันทร์,Kanlaya Chuachan,มหาวิทยาลัยขอนแก่น,Khon Kaen University,อายุรศาสตร์,3,3,3,1,12,ปริญญาโท,ข้าราชการ
72,รองศาสตราจารย์,กัลยาณี คุปตานนท์,Kalayanee Kooptarnond,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,เคมี,182,31,171,7,35,ปริญญาโท,ข้าราชการ
73,รองศาสตราจารย์,กัลยาณี ธาระสืบ,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,คณิตศาสตร์,,,,,,ปริญญาโท,ต่ออายุราชการ
74,รองศาสตราจารย์,กัลยาภรณ์ ปานมะเริง,,มหาวิทยาลัยศรีปทุม,Sripatum University,การบัญชี,,,,,,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
75,รองศาสตราจารย์,กัลลยานี ดวงฉวี,Galayanee Doungchawee,มหาวิทยาลัยมหิดล,Mahidol University,พยาธิชีววิทยา,212,23,190,9,66,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
76,รองศาสตราจารย์,กัสมา กาซ้อน,,มหาวิทยาลัยราชภัฏเชียงราย,Chiang Rai Rajabhat University,การบัญชี,,,,,,ปริญญาโท,ข้าราชการ
77,รองศาสตราจารย์,กาญจนะ แก้วกำเนิด,Kanchana Keowkamnerd,มหาวิทยาลัยเชียงใหม่,Chiang Mai University,!! รอแก้ไข !!,41,4,39,2,10,-,ข้าราชการ
78,รองศาสตราจารย์,กาญจนา จันทร์ประเสริฐ,Kanjana Chanprasert,มหาวิทยาลัยรังสิต,Rangsit University,ฟิสิกส์,33,4,32,4,13,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
79,รองศาสตราจารย์,กาญจนา ชาญสง่าเวช,Kanjana Chansa-Ngavej,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,จุลชีววิทยา,,,,1,,ปริญญาโท,ข้าราชการ
80,รองศาสตราจารย์,กาญจนา ตันสุวรรณรัตน์,,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,Rajamangala University of Technology Isan,เทคโนโลยีสถาปัตยกรรม,,,,,,ปริญญาโท,ข้าราชการ
81,รองศาสตราจารย์,กาญจนา ตั้งนรารัชชกิจ,Kanchana Tangnararatchakit,มหาวิทยาลัยมหิดล,Mahidol University,กุมารเวชศาสตร์,687,43,626,14,143,ปริญญาตรี,ข้าราชการ
82,รองศาสตราจารย์,กาญจนา ธรรมาวาท,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,เศรษฐศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
83,รองศาสตราจารย์,กาญจนา นาถะพินธุ,Ganjana Nathapindhu,มหาวิทยาลัยขอนแก่น,Khon Kaen University,สาธารณสุขศาสตร์,3,2,2,1,7,ปริญญาโท,ข้าราชการ
84,รองศาสตราจารย์,กาญจนา สงวนวงศ์วาน,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,เศรษฐศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
85,รองศาสตราจารย์,กาญจนา สาลีติ๊ด,,มหาวิทยาลัยราชภัฏหมู่บ้านจอมบึง,Muban Chom Bueng Rajabhat University,ชีววิทยา,,,,,,ปริญญาโท,ข้าราชการ
86,รองศาสตราจารย์,กาญจนา อินทรสุนานนท์,,มหาวิทยาลัยศรีนครินทรวิโรฒ,Srinakharinwirot University,ดนตรี,,,,,,ปริญญาโท,ข้าราชการ
87,รองศาสตราจารย์,กาญจนาท เรืองวรากร,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,การบริหารจัดการ,,,,,,ปริญญาโท,ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)
88,รองศาสตราจารย์,การุณ ใจปัญญา,,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,King Mongkut's University of Technology North Bangkok,วิศวกรรมโยธา,,,,,,ปริญญาโท,ข้าราชการ
89,รองศาสตราจารย์,การุณย์ลักษณ์ พหลโยธิน,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,ความสัมพันธ์ระหว่างประเทศ,,,,,,ปริญญาโท,ข้าราชการ
90,รองศาสตราจารย์,กาวี ศรีกูลกิจ,Kawee Srikulkit,จุฬาลงกรณ์มหาวิทยาลัย,Chulalongkorn University,วัสดุศาสตร์,671,39,652,9,48,ปริญญาโท,ข้าราชการ
91,รองศาสตราจารย์,กำจร มุณีแก้ว,,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,Bansomdejchaopraya Rajabhat University and Princess of Naradhiwas University,คณิตศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
92,รองศาสตราจารย์,กำชัย ตรีชัยรัศมี,,มหาวิทยาลัยศิลปากร,Silapakorn University,ฟิสิกส์,,,,,,ปริญญาโท,ข้าราชการ
93,รองศาสตราจารย์,กำธร กำประเสริฐ,,มหาวิทยาลัยรามคำแหง,Ramkhamhaeng University,กฎหมายเปรียบเทียบ,,,,,,ปริญญาโท,ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)
94,รองศาสตราจารย์,กำพล ประทีปชัยกูร,Gumpon Prateepchaikul,มหาวิทยาลัยสงขลานครินทร์,Prince of Songkla University,วิศวกรรมเครื่องกล,466,43,364,13,49,ปริญญาโท,ข้าราชการ
95,ศาสตราจารย์ ได้รับเงินประจำตำแหน่งสูงขึ้น,กำแหง จาตุรจินดา,Kamheang Chaturachinda,มหาวิทยาลัยมหิดล,Mahidol University,สูติศาสตร์-นรีเวชวิทยา,542,131,465,12,137,ปริญญาตรี,ข้าราชการ
96,รองศาสตราจารย์,กิจจา อุไรรงค์,Kitcha Urairong,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,ศัลยศาสตร์,314,4,314,4,29,ปริญญาตรี,ข้าราชการ
97,รองศาสตราจารย์,กิตติ จันทร์เลิศฤทธิ์,Kitti Chunlertrith,มหาวิทยาลัยขอนแก่น,Khon Kaen University,โรคทางเดินอาหาร,88,14,86,6,50,ปริญญาตรี,ข้าราชการ
98,รองศาสตราจารย์,กิตติ จิระรัตนโพธิ์ชัย,Kitti Jiraratanaphochai,มหาวิทยาลัยขอนแก่น,Khon Kaen University,ศัลยศาสตร์ออร์โธปิดิคส์,1,2,1,1,6,ปริญญาตรี,ข้าราชการ
99,รองศาสตราจารย์,กิตติ ตันไทย,,มหาวิทยาลัยราชภัฏสงขลา,Songkhla Rajabhat University,ประวัติศาสตร์,,,,,,ปริญญาโท,ต่ออายุราชการ
100,รองศาสตราจารย์,กิตติ พัฒนตระกูลสุข,,มหาวิทยาลัยเกษตรศาสตร์,Kasetsart University,การสอนคณิตศาสตร์,,,,,,ปริญญาโท,ข้าราชการ
101,รองศาสตราจารย์,กิตติ สิริพัลลภ,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,,,,,,ปริญญาโท,ข้าราชการ
102,รองศาสตราจารย์,กิตติกรณ์ บำรุงบุญ,,มหาวิทยาลัยราชภัฏมหาสารคาม,Rajabhat Maha Sarakham University,ประติมากรรม,,,,,,ปริญญาโท,ข้าราชการ
103,รองศาสตราจารย์พิเศษ,กิตติณัฐ กิจวิกัย,Kittinut Kijvikai,มหาวิทยาลัยมหิดล,Mahidol University,ศัลยศาสตร์ระบบทางเดินปัสสาวะ,430,35,423,8,79,-,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
104,รองศาสตราจารย์,กิตติพงษ์ ตันมิตร,,มหาวิทยาลัยขอนแก่น,Khon Kaen University,วิศวกรรมไฟฟ้า,,,,,,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
105,รองศาสตราจารย์,กิตติยา นรามาศ,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,,,,,,ปริญญาโท,ข้าราชการ
106,รองศาสตราจารย์,กิตติศักดิ์ กิจทวีสิน,Kitthisak Kitthaweesin,มหาวิทยาลัยขอนแก่น,Khon Kaen University,จักษุวิทยา,84,16,77,5,20,ปริญญาตรี,ข้าราชการ
107,รองศาสตราจารย์,กิติ ยิ่งยงใจสุข,,มหาวิทยาลัยศรีนครินทรวิโรฒ,Srinakharinwirot University,ปรัชญาและศาสนา,,,,,,ปริญญาโท,ข้าราชการ
108,รองศาสตราจารย์,กิติพงค์ มะโน,Kitipong Mano,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,King Mongkut's Institute of Technology Ladkrabang,ครุศาสตร์วิศวกรรม,5,3,5,1,10,ปริญญาโท,พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)
109,รองศาสตราจารย์,กิติมา ศศะนาวิน,,มหาวิทยาลัยพะเยา,University of Phayao,จิตวิทยาการแนะแนว,,,,,,ปริญญาโท,ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)
110,รองศาสตราจารย์,กิติมา สุรสนธิ,,มหาวิทยาลัยธรรมศาสตร์,Thammasart University,-,,,,,,ปริญญาโท,ข้าราชการ
111,รองศาสตราจารย์,กิติรัตน์ อังกานนท์,Kitirat Ungkanon,มหาวิทยาลัยมหิดล,Mahidol University,โสต นาสิก ลาริงซ์วิทยา,14,2,13,2,14,ปริญญาตรี,ข้าราชการ
112,รองศาสตราจารย์,กิติรัตน์ เตชะไตรศักดิ์,Kitirat Techatraisak,มหาวิทยาลัยมหิดล,Mahidol University,ต่อมไร้ท่อทางนรีเวช,977,46,957,12,95,ปริญญาตรี,ข้าราชการ
113,รองศาสตราจารย์,กิติศักดิ์ พลอยพานิชเจริญ,,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut’s University of Technology Thonburi,บริหารอุตสาหกรรม,,,,,,ปริญญาโท,ข้าราชการ
114,รองศาสตราจารย์,กิมาพร ขมะณะรงค์,Kimaporn Khamanarong,มหาวิทยาลัยขอนแก่น,Khon Kaen University,กายวิภาคศาสตร์,196,22,196,5,45,ปริญญาโท,ข้าราชการ
115,รองศาสตราจารย์,กิ่งแก้ว ทรัพย์พระวงศ์,,มหาวิทยาลัยกรุงเทพ,Bangkok University,จิตวิทยา,,,,,,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
116,รองศาสตราจารย์,กิ่งแก้ว ปาจรีย์,Kingkaew Pajareya,มหาวิทยาลัยมหิดล,Mahidol University,เวชศาสตร์ฟื้นฟู,146,7,138,5,11,ปริญญาตรี,ข้าราชการ
117,รองศาสตราจารย์,กิ่งแก้ว เกษโกวิท,Kingkaew Ketkowit,มหาวิทยาลัยขอนแก่น,Khon Kaen University,สาธารณสุขศาสตร์,,,,1,,ปริญญาโท,ข้าราชการ
118,รองศาสตราจารย์,กีรติ ตันเสถียร,,มหาวิทยาลัยรังสิต,Rangsit University,-,,,,,,-,อาจารย์มหาวิทยาลัยเอกชน
119,รองศาสตราจารย์,กีรติ ลีวัจนกุล,,มหาวิทยาลัยรังสิต,Rangsit University,วิศวกรรมโยธา,,,,,,ปริญญาโท,อาจารย์มหาวิทยาลัยเอกชน
