"academic_rank","thai_db_name","scopus_name","thai_affiliation","eng_affiliation","field","citation_count","doc_count","cited_by_count","h_index","co_author_count","highest_edu","employment_type","field_group","funded_by","missing_scopus","rank_i","passed"
"asso_prof","ดร. รัชนี พนเจริญสวัสดิ์","","มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา","Rajamangala University of Technology Lanna","พืชศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","natural_science","government",TRUE,1,0
"asso_prof","ดร. รัชนี ศุจิจันทรรัตน์","","มหาวิทยาลัยมหิดล","Mahidol University","พยาบาลรากฐาน",NA,NA,NA,1,NA,"ปริญญาเอก","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","medicine","gov_university",TRUE,1,0
"asso_prof","ดร. รัชนีกร ทองสุขดี","","มหาวิทยาลัยเชียงใหม่","Chiang Mai University","สังคมศึกษา",NA,NA,NA,NA,NA,"ปริญญาเอก","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","social_science","gov_university",TRUE,1,0
"asso_prof","ดร. รัชนีกูล ภิญโญภานุวัฒน์","","มหาวิทยาลัยสุโขทัยธรรมาธิราช","Sukhothai Thammathirat Open University","การวัดและประเมินผลการศึกษา",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
"prof","ดร. รัตติยา สาและ","","มหาวิทยาลัยทักษิณ","Thaksin University","ภาษาและวัฒนธรรมมลายู",NA,NA,NA,NA,NA,"ปริญญาเอก","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","liberal_arts","gov_university",TRUE,3,0
"prof","ดร. รัตนะ บัวสนธ์","","มหาวิทยาลัยนเรศวร","Naresuan University","วิจัยและพัฒนาการศึกษา",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,3,0
"asso_prof","ดร. รัตนา กาญจนพันธุ์","","มหาวิทยาลัยรามคำแหง","Ramkhamhaeng University","ศึกษาศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","liberal_arts","government",TRUE,1,0
"asso_prof","ดร. รัตนา ปรมาคม","","สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง","King Mongkut's Institute of Technology Ladkrabang","เทคโนโลยีการเกษตร",NA,NA,NA,NA,NA,"ปริญญาเอก","พนักงานมหาวิทยาลัย (สถาบันอุดมศึกษาของรัฐ)","natural_science","gov_university",TRUE,1,0
"prof","ดร. รัตนา ศิริพานิช","","มหาวิทยาลัยบูรพา","Burapha University","จิตวิทยาการศึกษา",NA,NA,NA,NA,NA,"ปริญญาเอก","ลูกจ้างชั่วคราว (สถาบันอุดมศึกษาของรัฐ)","liberal_arts","gov_university",TRUE,3,0
"asso_prof","ดร. รัศฎา เอกบุตร","","มหาวิทยาลัยธรรมศาสตร์","Thammasart University","นิติศาสตร์",NA,NA,NA,NA,NA,"ปริญญาเอก","ข้าราชการ","social_science","government",TRUE,1,0
